YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,YYYYMMDDHH,YYYY_SOLAR,MM_SOLAR,DD_SOLAR,HHMM_SOLAR,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_,START_LON_,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_,HUMAN_FATA,HUMAN_INJ,ANIMAL_FAT,ANIMAL_INJ,DMG_THOUS,FORECAST_R
     1981.000000,        6.000000,       16.000000,     1400.000000,19810616 2000,     1981.000000,        6.000000,       16.000000,     1245.000000,Delmas,SK,0,       52.917000,     -108.600000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,The Battlefords - Unity - Maidstone - St. Walburg
     1981.000000,        7.000000,        2.000000,     2000.000000,19810703 0100,     1981.000000,        7.000000,        2.000000,     1814.000000,Grandview,MB,0,       51.170000,     -100.690000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Dauphin - Roblin - Winnipegosis
     1981.000000,        7.000000,        8.000000,     1500.000000,19810708 1800,     1981.000000,        7.000000,        8.000000,     1331.000000,Scotchtown,NB,2,       45.934000,      -66.161000,       45.908870,      -66.129961,3600,320,-999,-999,-999,-999,-999,10,Grand Lake and Queens County
     1981.000000,        7.000000,       13.000000,     1640.000000,19810713 2240,     1981.000000,        7.000000,       13.000000,     1500.000000,Edmonton,AB,1,       53.540000,     -113.660000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,City of Edmonton - St. Albert - Sherwood Park
     1981.000000,        7.000000,       14.000000,     1950.000000,19810715 0150,     1981.000000,        7.000000,       14.000000,     1809.000000,Rivière Qui Barre,AB,2,       53.774000,     -113.843000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Spruce Grove - Morinville - Mayerthorpe - Evansburg
     1981.000000,        7.000000,       18.000000,     1900.000000,19810718 2300,     1981.000000,        7.000000,       18.000000,     1736.000000,Bond Head,ON,0,       44.099000,      -79.644000,       44.096000,      -79.597000,3610,275,-999,0,0,0,0,-999,Dufferin - Innisfil
     1981.000000,        7.000000,       19.000000,     1600.000000,19810719 2000,     1981.000000,        7.000000,       19.000000,     1436.000000,Maple,ON,0,       43.856000,      -79.534000,       43.824000,      -79.489000,5130,310,-999,0,0,0,0,-999,York - Durham
     1981.000000,        7.000000,       19.000000,     1615.000000,19810719 2015,     1981.000000,        7.000000,       19.000000,     1452.000000,Thornhill,ON,0,       43.868000,      -79.490000,       43.807000,      -79.402000,9730,310,-999,0,0,0,0,-999,York - Durham
     1981.000000,        7.000000,       19.000000,     1635.000000,19810719 2035,     1981.000000,        7.000000,       19.000000,     1522.000000,Arden,ON,0,       44.720000,      -76.910000,     -999.000000,     -999.000000,-999,-999,-999,0,0,0,0,1000,Smiths Falls - Lanark - Sharbot Lake
     1981.000000,        7.000000,       29.000000,     2100.000000,19810730 0300,     1981.000000,        7.000000,       29.000000,     1855.000000,Regina,SK,0,       50.423000,     -104.720000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte
     1981.000000,        8.000000,        4.000000,     1500.000000,19810804 1900,     1981.000000,        8.000000,        4.000000,     1336.000000,Bradford,ON,0,       44.124000,      -79.611000,       44.116000,      -79.545000,5640,280,160,0,0,0,0,-999,Dufferin - Innisfil
     1981.000000,        8.000000,        5.000000,     1600.000000,19810805 2200,     1981.000000,        8.000000,        5.000000,     1357.000000,Kronau,SK,1,       50.300000,     -104.300000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte
     1981.000000,        8.000000,        8.000000,     1045.000000,19810808 1445,     1981.000000,        8.000000,        8.000000,      918.000000,Brantford,ON,0,       43.130000,      -80.397000,       43.139000,      -80.312000,7030,260,-999,0,0,0,0,-999,Oxford - Brant
     1981.000000,        8.000000,       11.000000,     1715.000000,19810811 2115,     1981.000000,        8.000000,       11.000000,     1554.000000,Niagara-on-the-Lake,ON,0,       43.195000,      -79.096000,       43.199000,      -79.078000,1490,250,-999,0,0,0,0,200,Niagara
     1981.000000,        8.000000,       16.000000,     2015.000000,19810817 0215,     1981.000000,        8.000000,       16.000000,     1812.000000,Pense,SK,0,       50.420000,     -104.980000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Moose Jaw - Pense - Central Butte - Craik
     1981.000000,        8.000000,       22.000000,     1530.000000,19810822 2130,     1981.000000,        8.000000,       22.000000,     1332.000000,Wadena,SK,0,       51.950000,     -103.783000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake
     1981.000000,        8.000000,       30.000000,     1800.000000,19810830 2300,     1981.000000,        8.000000,       30.000000,     1623.000000,Plumas,MB,0,       50.403000,      -99.068000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Ste. Rose - McCreary - Alonsa - Gladstone
     1981.000000,        9.000000,       10.000000,     1920.000000,19810910 2320,     1981.000000,        9.000000,       10.000000,     1818.000000,Howe Island,ON,0,       44.305000,      -76.272000,       44.295000,      -76.242000,2500,295,80,0,0,0,0,-999,Kingston - Prince Edward
     1981.000000,        9.000000,       10.000000,     1940.000000,19810910 2340,     1981.000000,        9.000000,       10.000000,     1834.000000,Shannonville,ON,1,       44.253000,      -77.307000,       44.225000,      -77.154000,12800,285,200,0,0,0,0,-999,Kingston - Prince Edward
     1981.000000,        9.000000,       10.000000,     2010.000000,19810911 0010,     1981.000000,        9.000000,       10.000000,     1906.000000,Adolphus Reach,ON,0,       44.112000,      -76.874000,     -999.000000,     -999.000000,-999,270,-999,0,0,0,0,-999,Kingston - Prince Edward
     1981.000000,        9.000000,       13.000000,     2130.000000,19810914 0130,     1981.000000,        9.000000,       13.000000,     2005.000000,Sarnia,ON,0,       43.005000,      -82.353000,       43.016000,      -82.321000,2850,235,-999,0,0,0,0,-999,Sarnia - Lambton
     1981.000000,        0.000000,        0.000000,        0.000000,19810714,     1981.000000,        0.000000,        0.000000,        0.000000,Boyle,AB,0,       54.617000,     -112.892000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Westlock - Barrhead - Athabasca
     1981.000000,        0.000000,        0.000000,        0.000000,19810528,     1981.000000,        0.000000,        0.000000,        0.000000,Wakaw,SK,0,       52.662000,     -105.753000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Martensville - Warman - Rosthern - Delisle - Wakaw
     1981.000000,        0.000000,        0.000000,        0.000000,19810604,     1981.000000,        0.000000,        0.000000,        0.000000,Melita,MB,0,       49.264000,     -100.971000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Melita - Boissevain - Turtle Mountain Provincial Park
     1981.000000,        0.000000,        0.000000,        0.000000,19810701,     1981.000000,        0.000000,        0.000000,        0.000000,Carnduff,SK,0,       49.183000,     -101.800000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton
     1981.000000,        0.000000,        0.000000,        0.000000,19810714,     1981.000000,        0.000000,        0.000000,        0.000000,Govan,SK,0,       51.312000,     -104.983000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake
     1981.000000,        0.000000,        0.000000,        0.000000,19810714,     1981.000000,        0.000000,        0.000000,        0.000000,Notre Dame de Lourdes,MB,0,       49.526000,      -98.588000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Killarney - Pilot Mound - Manitou
     1981.000000,        0.000000,        0.000000,        0.000000,19810725,     1981.000000,        0.000000,        0.000000,        0.000000,Sangudo,AB,0,       53.910000,     -114.900000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Spruce Grove - Morinville - Mayerthorpe - Evansburg
     1981.000000,        0.000000,        0.000000,        0.000000,19810728,     1981.000000,        0.000000,        0.000000,        0.000000,Torch River,SK,0,       53.600000,     -105.000000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Melfort - Tisdale - Nipawin - Carrot River
     1981.000000,        0.000000,        0.000000,        0.000000,19810805,     1981.000000,        0.000000,        0.000000,        0.000000,Aylesbury,SK,0,       50.850000,     -105.733000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Moose Jaw - Pense - Central Butte - Craik
     1981.000000,        0.000000,        0.000000,        0.000000,19810817,     1981.000000,        0.000000,        0.000000,        0.000000,Hughton,SK,1,       51.245000,     -107.917000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Kindersley - Rosetown - Biggar - Wilkie - Macklin
     1981.000000,        0.000000,        0.000000,        0.000000,19810822,     1981.000000,        0.000000,        0.000000,        0.000000,Stenen,SK,0,       51.817000,     -102.383000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Kamsack - Canora - Preeceville
     1982.000000,        4.000000,       13.000000,     2130.000000,19820414 0130,     1982.000000,        4.000000,       13.000000,     2038.000000,Adamsville,QC,1,       45.266297,      -72.812048,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Eastern Townships
